iter	Passed	Remaining
0	145	145847
1	146	73118
2	147	48855
3	147	36720
4	147	29440
5	148	24586
6	148	21122
7	149	18522
8	149	16499
9	150	14880
10	150	13555
11	151	12451
12	151	11516
13	152	10715
14	152	10021
15	153	9417
16	153	8882
17	154	8407
18	155	8004
19	155	7642
20	156	7318
21	157	7018
22	158	6738
23	159	6490
24	160	6253
25	161	6035
26	161	5829
27	162	5635
28	162	5453
29	163	5284
30	163	5126
31	164	4977
32	165	4838
33	165	4707
34	166	4580
35	166	4461
36	167	4348
37	167	4240
38	168	4141
39	168	4049
40	169	3962
41	170	3892
42	171	3810
43	171	3731
44	172	3655
45	172	3583
46	173	3513
47	173	3446
48	174	3381
49	174	3321
50	175	3261
51	175	3204
52	176	3149
53	176	3096
54	177	3044
55	177	2995
56	178	2947
57	178	2901
58	179	2858
59	179	2816
60	180	2774
61	180	2734
62	181	2694
63	181	2656
64	182	2619
65	182	2583
66	182	2547
67	183	2511
68	183	2478
69	184	2446
70	184	2415
71	185	2384
72	185	2355
73	185	2326
74	186	2298
75	186	2271
76	187	2244
77	187	2218
78	188	2193
79	188	2168
80	189	2144
81	189	2121
82	189	2098
83	190	2075
84	190	2052
85	191	2031
86	191	2008
87	191	1988
88	192	1968
89	192	1948
90	193	1930
91	193	1912
92	194	1894
93	194	1877
94	195	1860
95	195	1843
96	196	1827
97	196	1811
98	197	1795
99	197	1779
100	198	1765
101	198	1748
102	199	1733
103	199	1719
104	200	1704
105	200	1690
106	200	1676
107	201	1663
108	201	1649
109	202	1636
110	202	1623
111	203	1610
112	203	1598
113	204	1585
114	204	1573
115	204	1560
116	205	1549
117	205	1537
118	206	1525
119	206	1514
120	206	1503
121	207	1492
122	207	1480
123	208	1470
124	208	1459
125	209	1449
126	209	1439
127	209	1428
128	210	1419
129	210	1409
130	211	1400
131	211	1391
132	211	1381
133	212	1372
134	212	1363
135	213	1355
136	213	1346
137	214	1337
138	214	1329
139	215	1320
140	215	1312
141	215	1304
142	216	1296
143	216	1288
144	217	1281
145	217	1273
146	218	1266
147	218	1259
148	219	1251
149	219	1244
150	220	1237
151	220	1230
152	220	1223
153	221	1216
154	221	1209
155	222	1202
156	222	1196
157	223	1189
158	223	1182
159	224	1177
160	224	1171
161	225	1164
162	225	1158
163	226	1152
164	226	1146
165	227	1140
166	227	1134
167	227	1128
168	228	1123
169	228	1117
170	229	1111
171	229	1106
172	230	1100
173	230	1095
174	231	1089
175	231	1084
176	232	1078
177	232	1073
178	232	1068
179	233	1063
180	233	1057
181	234	1052
182	234	1047
183	235	1042
184	235	1037
185	235	1032
186	236	1027
187	236	1022
