iter	Passed	Remaining
0	139	139740
1	142	70926
2	144	48008
3	147	36678
4	149	29674
5	150	24978
6	152	21618
7	153	19084
8	155	17107
9	157	15553
10	158	14247
11	159	13157
12	161	12224
13	162	11416
14	163	10715
15	164	10100
16	165	9573
17	166	9102
18	167	8669
19	168	8275
20	169	7920
21	170	7599
22	173	7355
23	174	7106
24	175	6857
25	176	6621
26	177	6402
27	178	6199
28	179	6014
29	180	5833
30	181	5671
31	182	5518
32	183	5380
33	184	5242
34	185	5115
35	186	4992
36	187	4872
37	187	4756
38	188	4646
39	189	4541
40	196	4590
41	197	4504
42	199	4431
43	200	4346
44	200	4259
45	201	4174
46	201	4092
47	202	4014
48	203	3945
49	204	3887
50	205	3827
51	206	3763
52	207	3700
53	207	3639
54	208	3580
55	209	3523
56	209	3466
57	210	3412
58	210	3360
59	211	3311
60	211	3262
61	212	3221
62	214	3186
63	215	3144
64	215	3101
65	216	3059
66	217	3025
67	217	2985
68	218	2946
69	218	2909
70	219	2873
71	220	2838
72	220	2803
73	221	2769
74	221	2737
75	222	2709
76	223	2681
77	224	2651
78	224	2622
79	225	2593
80	226	2566
81	226	2538
82	227	2508
83	227	2485
84	228	2460
85	229	2435
86	229	2411
87	230	2387
88	230	2363
89	231	2340
90	232	2318
91	233	2301
92	234	2282
93	234	2262
94	235	2241
95	235	2222
96	236	2203
97	237	2184
98	237	2165
99	238	2147
100	239	2129
101	239	2112
102	240	2094
103	241	2078
104	241	2062
105	242	2049
106	243	2035
107	244	2020
108	245	2004
109	245	1988
110	246	1973
111	247	1958
112	247	1944
113	248	1931
114	249	1919
115	250	1906
116	250	1891
117	251	1877
118	252	1866
119	253	1855
120	253	1843
121	254	1830
122	255	1818
123	255	1805
124	256	1793
125	256	1781
126	257	1769
127	258	1757
128	258	1747
129	259	1735
130	260	1725
131	260	1713
132	261	1704
133	262	1697
134	263	1687
135	264	1677
136	264	1667
137	265	1657
138	265	1647
139	266	1637
140	267	1627
141	267	1616
142	268	1607
143	268	1597
144	269	1588
145	269	1579
146	270	1569
147	271	1561
148	272	1553
149	273	1547
150	273	1539
151	274	1530
152	274	1521
153	275	1513
154	276	1505
155	276	1497
156	277	1488
157	277	1480
158	278	1473
159	279	1465
160	279	1456
161	280	1449
162	281	1442
163	282	1438
164	282	1431
165	283	1423
166	283	1416
167	284	1408
168	285	1401
169	285	1395
170	286	1389
171	287	1382
172	287	1375
173	288	1369
174	289	1362
175	289	1356
176	290	1349
177	291	1344
178	292	1341
179	293	1336
180	294	1330
181	294	1325
182	295	1319
183	296	1314
184	296	1307
185	297	1302
186	298	1296
187	298	1290
188	299	1284
189	300	1279
190	301	1275
191	301	1270
192	302	1265
193	303	1259
194	303	1253
195	304	1248
196	305	1243
197	305	1238
198	306	1232
199	306	1227
200	307	1222
201	308	1217
202	308	1212
203	309	1208
204	310	1204
205	311	1199
206	311	1195
207	313	1192
208	314	1189
209	315	1186
210	316	1183
211	317	1179
212	318	1175
213	318	1170
214	319	1166
215	320	1163
216	321	1159
217	321	1154
218	322	1150
219	323	1145
220	323	1141
221	324	1136
222	324	1132
223	325	1127
224	326	1123
225	326	1119
226	327	1114
227	328	1111
228	328	1106
229	330	1105
230	331	1104
231	332	1100
232	333	1096
233	333	1092
234	334	1089
235	335	1085
236	335	1081
237	336	1077
238	337	1073
239	337	1069
240	338	1065
241	339	1061
242	340	1059
243	340	1056
244	341	1052
245	342	1048
246	342	1045
247	343	1041
248	344	1037
249	344	1034
250	345	1030
251	345	1026
252	346	1023
253	347	1019
254	347	1016
255	349	1014
256	350	1013
257	351	1010
258	351	1006
259	352	1003
260	353	1000
261	353	997
262	354	993
263	355	990
264	355	987
265	356	983
266	357	980
267	357	977
268	359	976
269	360	973
270	360	970
271	361	967
272	362	964
273	362	961
274	363	958
275	364	955
276	364	952
277	365	949
278	366	946
279	366	943
280	367	939
281	367	936
282	368	934
283	369	931
284	370	928
285	370	925
286	371	922
287	371	918
288	372	915
289	372	912
290	373	909
291	373	906
292	374	903
293	375	900
294	375	898
295	376	895
296	377	892
297	378	891
298	380	890
299	381	889
300	381	886
301	382	884
302	383	882
303	384	879
304	384	876
305	385	873
306	385	870
307	386	868
308	387	865
309	388	865
310	389	862
311	390	860
312	390	857
313	391	854
314	391	852
315	392	849
316	393	847
317	393	844
318	394	841
319	394	839
320	395	836
321	396	834
322	396	831
323	397	829
324	398	827
325	399	825
326	399	823
327	400	820
328	401	817
329	401	815
330	402	812
331	402	810
332	403	807
333	403	805
334	404	802
335	404	800
336	405	797
337	406	795
338	407	793
339	407	791
340	408	789
341	409	787
342	409	784
343	410	782
344	411	780
345	411	778
346	412	775
347	412	773
348	413	770
349	413	768
350	414	766
351	416	765
352	417	764
353	417	762
354	418	760
355	418	757
356	419	755
357	420	753
358	420	751
359	421	749
360	421	746
361	422	744
362	423	742
363	423	740
364	424	738
365	424	736
366	426	734
367	426	733
368	427	731
369	428	729
370	428	727
371	429	724
372	429	722
373	430	720
374	430	718
375	431	715
376	431	713
377	432	711
378	432	709
379	433	707
380	433	704
381	434	702
382	435	701
383	436	699
384	436	697
385	437	695
386	437	693
387	438	691
388	439	689
389	439	687
390	440	685
391	440	683
392	441	681
393	441	679
394	442	677
395	442	675
396	443	673
397	443	671
398	444	669
399	445	668
400	446	667
401	447	665
402	448	663
403	448	662
404	449	660
405	450	658
406	450	656
407	451	654
408	451	652
409	452	650
410	452	648
411	453	646
412	453	644
413	454	643
414	455	642
415	456	640
416	456	638
417	457	636
418	457	634
419	458	633
420	458	631
421	459	629
422	459	627
423	460	625
424	460	623
425	461	621
426	461	619
427	462	618
428	462	616
429	463	614
430	464	612
431	465	611
432	465	609
433	466	608
434	466	606
435	467	604
436	467	602
437	468	600
438	468	598
439	469	597
440	469	595
441	470	593
442	470	591
443	471	590
444	471	588
445	472	586
446	473	585
447	473	583
448	474	581
449	475	580
450	475	579
451	476	577
452	476	575
453	477	573
454	477	572
455	478	570
456	478	568
457	479	566
458	479	565
459	480	563
460	480	561
461	480	560
462	481	558
463	481	556
464	482	554
465	482	553
466	483	551
467	483	550
468	484	548
469	485	547
470	485	545
471	486	544
472	486	542
473	487	540
474	487	539
475	488	537
476	488	535
477	489	534
478	489	532
479	490	530
480	490	529
481	490	527
482	491	526
483	491	524
484	492	522
485	492	521
486	493	519
487	493	518
488	494	516
489	495	515
490	495	513
491	496	512
492	496	510
493	497	509
494	497	507
495	498	506
496	498	504
497	499	503
498	499	501
499	499	499
500	500	498
501	500	496
502	501	495
503	501	493
504	502	492
505	502	490
506	503	489
507	503	487
508	504	486
509	505	485
510	505	483
511	506	482
512	506	481
513	507	479
514	507	478
515	508	476
516	508	475
517	508	473
518	509	472
519	509	470
520	510	469
521	510	467
522	511	466
523	511	464
524	512	463
525	512	461
526	513	460
527	514	459
528	514	458
529	515	457
530	516	456
531	517	455
532	519	455
533	520	454
534	520	452
535	521	451
536	521	449
537	522	448
538	522	447
539	523	445
540	523	444
541	524	443
542	525	442
543	525	440
544	526	439
545	526	438
546	527	436
547	527	435
548	528	434
549	528	432
550	529	431
551	529	430
552	530	428
553	530	427
554	531	426
555	531	424
556	532	423
557	532	422
558	533	420
559	533	419
560	534	418
561	535	417
562	535	415
563	536	414
564	536	413
565	537	411
566	537	410
567	538	409
568	538	408
569	539	406
570	539	405
571	540	404
572	540	402
573	541	401
574	541	400
575	542	399
576	542	397
577	543	396
578	543	395
579	544	394
580	545	393
581	545	391
582	546	390
583	546	389
584	546	388
585	547	386
586	547	385
587	548	384
588	548	382
589	549	381
590	549	380
591	550	379
592	550	378
593	551	376
594	551	375
595	552	374
596	552	373
597	553	371
598	553	370
599	554	369
600	554	368
601	555	367
602	555	366
603	556	364
604	556	363
605	557	362
606	557	361
607	558	359
608	558	358
609	559	357
610	559	356
611	560	355
612	560	353
613	561	352
614	561	351
615	562	350
616	562	349
617	563	348
618	563	347
619	564	346
620	565	344
621	565	343
622	566	342
623	566	341
624	567	340
625	567	339
626	568	338
627	568	336
628	569	335
629	569	334
630	570	333
631	570	332
632	571	331
633	571	330
634	572	328
635	572	327
636	573	326
637	573	325
638	574	324
639	575	323
640	576	322
641	576	321
642	577	320
643	577	319
644	577	318
645	578	316
646	578	315
647	579	314
648	579	313
649	580	312
650	580	311
651	581	310
652	581	309
653	582	307
654	582	306
655	583	305
656	583	304
657	586	304
658	586	303
659	587	302
660	588	301
661	588	300
662	588	299
663	589	298
664	589	297
665	590	296
666	590	294
667	591	293
668	591	292
669	592	291
670	592	290
671	593	289
672	593	288
673	594	287
674	595	286
675	595	285
676	596	284
677	596	283
678	597	282
679	597	281
680	598	280
681	598	279
682	599	278
683	599	277
684	600	275
685	600	274
686	600	273
687	601	272
688	601	271
689	602	270
690	602	269
691	603	268
692	604	267
693	604	266
694	605	265
695	605	264
696	606	263
697	606	262
698	607	261
699	607	260
700	608	259
701	608	258
702	609	257
703	609	256
704	610	255
705	610	254
706	611	253
707	611	252
708	612	251
709	614	250
710	615	250
711	616	249
712	616	248
713	617	247
714	617	246
715	617	245
716	618	244
717	618	243
718	619	242
719	619	241
720	620	240
721	620	239
722	621	238
723	622	237
724	623	236
725	624	235
726	625	234
